Property_Key,Property_ID,Latitude,Longitude,Accommodates,Availability_365,Has_availability,Reviews_per_month,Calculated_host_listings_count,Property_type,Instant_bookable,Room_type,Bedrooms,Beds,Bathrooms,Bathrooms_type,Neighbourhood_cleansed,Number_of_reviews,Number_of_reviews_l30d,Review_scores_rating,Review_scores_accuracy,Review_scores_checkin,Review_scores_cleanliness,Review_scores_communication,Review_scores_location,Review_scores_value,Amenity_Count,avgprice
1828,1580233,52.36883,4.852,2,250,1,0.16,1,Entire apartment,0,Entire home/apt,1,1,1.5,shared bath(s),De Baarsjes - Oud-West,12,0,95,10,10,9,10,10,9,20,99
1829,1603794,52.37685,4.89247,2,0,1,1.08,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),Centrum-West,66,0,99,10,10,10,10,10,10,19,152.6438356
1830,1610986,52.36629,4.88614,2,1,1,0.63,1,Entire apartment,1,Entire home/apt,1,1,1,shared bath(s),Centrum-West,53,0,96,10,10,9,9,10,9,7,200
1831,1658094,52.36639,4.85652,2,89,1,0,2,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),De Baarsjes - Oud-West,0,0,0,0,0,0,0,0,0,14,155
1832,1694534,52.34163,4.90307,4,316,1,0.73,1,Entire apartment,0,Entire home/apt,3,3,1,shared bath(s),De Pijp - Rivierenbuurt,62,0,91,9,10,9,10,9,9,10,217.7945205
1833,1752692,52.35653,4.89684,4,0,1,0.73,1,Entire apartment,0,Entire home/apt,2,2,1,shared bath(s),De Pijp - Rivierenbuurt,60,0,96,10,10,10,10,10,9,15,275
1834,1798945,52.36288,4.89885,4,173,1,1.43,1,Entire apartment,0,Entire home/apt,1,1,1.5,shared bath(s),Centrum-Oost,101,0,96,10,10,10,10,10,9,26,289
1835,1818037,52.38488,4.8728,2,0,1,0.28,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),Westerpark,24,0,87,9,10,8,10,9,9,4,60
1836,1852798,52.35281,4.88716,3,165,1,1.61,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),De Pijp - Rivierenbuurt,133,0,97,10,10,10,10,10,9,23,146.3972603
1837,1866565,52.38881,4.89004,4,0,1,0.3,1,Entire apartment,0,Entire home/apt,1,3,1,shared bath(s),Westerpark,25,0,96,9,10,9,10,9,9,1,125.2547945
1838,1883646,52.37814,4.85047,2,0,1,0.13,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),Bos en Lommer,10,0,91,9,10,10,10,8,9,8,130
1839,1957337,52.35708,4.91901,4,172,1,0.24,1,Entire apartment,0,Entire home/apt,2,3,1,shared bath(s),Oud-Oost,10,0,100,10,10,10,10,10,10,14,276.5342466
1840,1973390,52.36331,4.93672,2,0,1,0.44,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),Oostelijk Havengebied - Indische Buurt,31,0,91,10,10,8,10,9,9,14,80
1841,2009504,52.37745,4.87867,2,1,1,0.47,1,Entire apartment,0,Entire home/apt,1,1,1.5,shared bath(s),Centrum-West,39,0,94,10,10,10,10,10,9,26,250
1,27595911,52.37604,4.89264,2,50,1,0.42,1,Room in bed and breakfast,1,Hotel room,1,1,1,shared bath(s),Centrum-West,8,2,98,9,10,10,10,10,10,21,127.2410959
2,34087777,52.34545,4.86695,4,66,1,4.53,1,Room in bed and breakfast,0,Hotel room,2,2,1,shared bath(s),Zuid,75,1,98,10,10,10,10,10,9,24,212.6739726
3,4076501,52.3536,4.86634,2,304,1,1.11,1,Room in bed and breakfast,1,Hotel room,1,1,1.5,shared bath(s),Zuid,82,2,94,9,9,9,9,10,9,11,84.22191781
4,9827642,52.34418,4.78832,2,205,1,2.57,2,Room in bed and breakfast,1,Hotel room,1,1,1.5,shared bath(s),De Aker - Nieuw Sloten,144,2,94,10,10,9,9,9,9,20,77.80821918
5,20101951,52.36773,4.89153,4,350,1,1.65,1,Room in bed and breakfast,1,Hotel room,2,4,1,shared bath(s),Centrum-West,48,0,97,10,10,10,10,10,9,32,180.5506849
6,32894403,52.35513,4.91072,2,0,1,0.55,2,Room in bed and breakfast,1,Hotel room,1,1,1,shared bath(s),Oud-Oost,10,0,86,9,9,10,8,9,8,13,99.04109589
7,9840286,52.37714,4.89367,2,48,1,3.41,2,Room in bed and breakfast,0,Hotel room,1,1,1,shared bath(s),Centrum-West,196,2,97,10,10,10,10,10,9,20,112.1671233
8,17968930,52.37198,4.90787,2,0,1,2.15,2,Room in bed and breakfast,1,Hotel room,1,1,1,shared bath(s),Centrum-Oost,32,0,99,10,10,10,10,10,9,23,236.3760218
9,18871870,52.3828,4.82627,2,351,1,3.18,2,Room in bed and breakfast,1,Hotel room,0,1,1,shared bath(s),Geuzenveld - Slotermeer,124,0,88,9,10,9,10,9,9,27,50.54520548
10,22937221,52.35225,4.8928,2,227,1,3.74,2,Room in bed and breakfast,1,Hotel room,1,1,1.5,shared bath(s),De Pijp - Rivierenbuurt,122,0,96,10,10,10,10,10,9,16,67.87671233
11,31758630,52.37403,4.88969,2,44,1,0.77,2,Room in bed and breakfast,1,Hotel room,1,1,1,shared bath(s),Centrum-West,12,2,100,10,10,10,10,10,10,11,183.8712329
12,36609293,52.36903,4.88716,2,0,1,1.66,2,Room in bed and breakfast,1,Hotel room,1,1,1,shared bath(s),Centrum-West,21,2,97,10,10,10,10,10,10,11,183.6038251
13,2647276,52.3101,4.99907,2,350,1,0.69,5,Room in bed and breakfast,1,Hotel room,1,1,1,shared bath(s),Gaasperdam - Driemond,54,0,89,9,8,9,8,9,9,22,94.83287671
14,16436324,52.36345,4.88489,2,35,1,1.05,2,Room in bed and breakfast,0,Hotel room,1,1,1,shared bath(s),Centrum-Oost,48,1,90,10,9,9,9,10,9,20,219.4109589
15,27565202,52.3582,4.87834,4,121,1,1.7,1,Room in bed and breakfast,0,Hotel room,2,2,1,shared bath(s),Zuid,44,1,98,10,10,10,10,10,9,32,241.3260274
16,30166284,52.37678,4.88965,2,328,1,0.84,18,Room in bed and breakfast,1,Hotel room,1,1,1,shared bath(s),Centrum-West,13,1,89,10,9,10,9,10,9,5,139.3972603
17,32008146,52.35059,4.91416,2,0,1,1.98,1,Room in bed and breakfast,1,Hotel room,1,1,1.5,shared bath(s),Oud-Oost,40,0,84,9,9,8,9,10,8,28,92.18306011
18,37344101,52.37049,4.87329,2,0,1,2.78,2,Room in bed and breakfast,0,Hotel room,1,1,1,shared bath(s),De Baarsjes - Oud-West,40,1,95,10,10,10,10,10,9,14,100.8547945
19,38769634,52.37493,4.83417,2,303,1,0.25,1,Room in bed and breakfast,1,Hotel room,1,1,0.5,shared bath(s),Geuzenveld - Slotermeer,3,0,100,10,10,10,10,9,10,17,100.6273973
20,16922646,52.3504,4.84685,2,0,1,1.82,39,Room in bed and breakfast,1,Hotel room,1,1,1,shared bath(s),Zuid,79,0,86,9,9,9,9,9,8,10,110.1452055
1842,2014705,52.37639,4.83973,4,284,1,0.98,1,Entire apartment,0,Entire home/apt,2,2,1,shared bath(s),Bos en Lommer,74,0,99,10,10,10,10,9,10,20,148
1843,2015074,52.35617,4.88869,2,137,1,1.13,1,Entire apartment,1,Entire home/apt,1,1,1,shared bath(s),De Pijp - Rivierenbuurt,93,0,98,10,10,10,10,10,10,26,135
1844,2074047,52.37214,4.87219,4,102,1,0.98,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),De Baarsjes - Oud-West,81,0,99,10,10,10,10,10,10,9,185
1845,2233122,52.36865,4.85471,4,0,1,0.17,1,Entire apartment,0,Entire home/apt,1,2,1,shared bath(s),De Baarsjes - Oud-West,13,0,94,9,9,10,9,9,9,7,300
1846,2336238,52.36458,4.88552,4,282,1,0.83,1,Entire apartment,0,Entire home/apt,2,2,1,shared bath(s),Centrum-Oost,34,0,95,10,10,10,10,10,9,25,350
1847,2398995,52.37733,4.87668,4,0,1,0.63,1,Entire apartment,1,Entire home/apt,1,1,1.5,shared bath(s),Westerpark,25,0,97,10,10,10,10,9,9,27,250
1848,2527472,52.35903,4.91392,4,179,1,0.6,1,Entire apartment,0,Entire home/apt,2,1,1.5,shared bath(s),Oud-Oost,46,0,95,10,10,10,10,9,9,35,121.8493151
1849,2640539,52.38218,4.88491,2,364,1,0.1,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),Centrum-West,8,0,91,10,9,9,10,9,9,6,200
1850,2400353,52.37259,4.90517,2,0,1,0.18,1,Entire apartment,0,Entire home/apt,1,1,1,shared bath(s),Centrum-Oost,13,0,100,10,10,10,10,10,10,11,150
1851,2481241,52.3995,4.91687,2,0,1,0.56,2,Entire apartment,0,Entire home/apt,1,2,1,shared bath(s),Oud-Noord,45,0,100,10,10,10,10,10,10,32,125
